Bacteria,,,,,,Fungi,,,,
Days,group,Sample,Inheritance,SumGroup,,Days,group,Sample,Inheritance,SumGroup
76,Late successional,A1_G_76_2B,Non-inherited,0,,76,Late successional,A1_G_76_1F,Non-inherited,0
76,Late successional,A1_G_76_2B,Transient,0.035460993,,76,Late successional,A1_G_76_1F,Transient,0
76,Late successional,A1_G_76_3B,Inherited,0.3246875,,76,Late successional,A1_G_76_2F,Inherited,0.38075216
76,Late successional,A1_G_76_3B,Non-inherited,0,,76,Late successional,A1_G_76_2F,Non-inherited,0
76,Late successional,A1_G_76_3B,Transient,0.03875,,76,Late successional,A1_G_76_2F,Transient,0
76,Late successional,A1_G_76_4B,Inherited,0.130293159,,76,Late successional,A1_G_76_3F,Inherited,0.046064328
76,Late successional,A1_G_76_4B,Non-inherited,0,,76,Late successional,A1_G_76_3F,Non-inherited,0
76,Late successional,A1_G_76_4B,Transient,0,,76,Late successional,A1_G_76_3F,Transient,0.00840472
76,Late successional,A1_G_76_5B,Inherited,0.070477682,,76,Late successional,A1_G_76_4F,Inherited,0.022267207
76,Late successional,A1_G_76_5B,Non-inherited,0,,76,Late successional,A1_G_76_4F,Non-inherited,0
76,Late successional,A1_G_76_5B,Transient,0,,76,Late successional,A1_G_76_4F,Transient,0
76,Late successional,A1_G_76_6B,Inherited,0.102750809,,76,Late successional,A1_G_76_5F,Inherited,0.075618465
76,Late successional,A1_G_76_6B,Non-inherited,0,,76,Late successional,A1_G_76_5F,Non-inherited,0
76,Late successional,A1_G_76_6B,Transient,0,,76,Late successional,A1_G_76_5F,Transient,0.000765111
76,Late successional,A1_G_76_8B,Inherited,0.428571429,,76,Late successional,A1_G_76_6F,Inherited,0.012881596
76,Late successional,A1_G_76_8B,Non-inherited,0,,76,Late successional,A1_G_76_6F,Non-inherited,0
76,Late successional,A1_G_76_8B,Transient,0,,76,Late successional,A1_G_76_6F,Transient,0.001941062
76,Late successional,A1_G_76_9B,Inherited,0.005684755,,76,Late successional,A1_G_76_7F,Inherited,0.003387916
76,Late successional,A1_G_76_9B,Non-inherited,0,,76,Late successional,A1_G_76_7F,Non-inherited,0
76,Late successional,A1_G_76_9B,Transient,0,,76,Late successional,A1_G_76_7F,Transient,0
76,Late successional,B2_G_76_1B,Inherited,0.011257036,,76,Late successional,A1_G_76_8F,Inherited,0.037956888
76,Late successional,B2_G_76_1B,Non-inherited,0,,76,Late successional,A1_G_76_8F,Non-inherited,0
76,Late successional,B2_G_76_1B,Transient,0,,76,Late successional,A1_G_76_8F,Transient,0
