"","Proteobacteria_Gammaproteobacteria","unidentified_unidentified","Proteobacteria_Alphaproteobacteria","Bacteroidetes_Bacteroidia","Basidiomycota_Agaricomycetes","Actinobacteria_Actinobacteria","Ascomycota_Sordariomycetes","Ascomycota_Dothideomycetes","Proteobacteria_Deltaproteobacteria","Chloroflexi_Anaerolineae","Firmicutes_Clostridia","Firmicutes_Bacilli","Verrucomicrobia_Verrucomicrobiae","Planctomycetes_Planctomycetacia","Acidobacteria_Acidobacteriia","Ascomycota_Eurotiomycetes","Basidiomycota_Tremellomycetes","Acidobacteria_Subgroup 6","Ascomycota_Leotiomycetes","Cyanobacteria_Oxyphotobacteria","Ascomycota_unidentified","Firmicutes_Negativicutes","Actinobacteria_Thermoleophilia","Bacteroidetes_Ignavibacteria","Acidobacteria_Holophagae","Gemmatimonadetes_Gemmatimonadetes","Planctomycetes_Phycisphaerae","Ascomycota_Saccharomycetes","Cyanobacteria_Melainabacteria","Actinobacteria_Acidimicrobiia","Chloroflexi_Chloroflexia","Chloroflexi_KD4-96","Basidiomycota_Microbotryomycetes","Spirochaetes_Spirochaetia","Acidobacteria_Subgroup 18","Basidiomycota_Ustilaginomycetes","Acidobacteria_Blastocatellia (Subgroup 4)","Patescibacteria_Saccharimonadia","Acidobacteria_Subgroup 17","Ascomycota_Pezizomycetes","Basidiomycota_Cystobasidiomycetes","Fibrobacteres_Fibrobacteria","Armatimonadetes_Chthonomonadetes","Armatimonadetes_Fimbriimonadia","Basidiomycota_unidentified","Chlamydiae_Chlamydiae","Chytridiomycota_unidentified","Mortierellomycota_Mortierellomycetes","Patescibacteria_Parcubacteria","Nitrospirae_4-29-1","Nitrospirae_Thermodesulfovibrionia","Actinobacteria_Coriobacteriia","Basidiomycota_Exobasidiomycetes","Basidiomycota_Malasseziomycetes","Chloroflexi_Ktedonobacteria","Gemmatimonadetes_S0134 terrestrial group","Mucoromycota_Mucoromycetes","Basidiomycota_Agaricostilbomycetes","Deinococcus-Thermus_Deinococci","Rozellomycota_unidentified","Patescibacteria_Gracilibacteria","Planctomycetes_OM190","Acidobacteria_Thermoanaerobaculia","Ascomycota_Orbiliomycetes","Chytridiomycota_Rhizophydiomycetes","Cyanobacteria_Sericytochromatia","Rokubacteria_NC10","Armatimonadetes_Armatimonadia","Chloroflexi_Dehalococcoidia","Elusimicrobia_Elusimicrobia","Epsilonbacteraeota_Campylobacteria","Mucoromycota_Endogonomycetes","Patescibacteria_ABY1","Patescibacteria_Microgenomatia","Planctomycetes_BD7-11","Acidobacteria_Subgroup 25","Armatimonadetes_uncultured","Basidiomycota_Wallemiomycetes","Chloroflexi_OLB14","Firmicutes_Erysipelotrichia","Fusobacteria_Fusobacteriia","Latescibacteria_uncultured bacterium","Nitrospinae_P9X2b3D02","Planctomycetes_vadinHA49","Ascomycota_Arthoniomycetes","Chloroflexi_Gitt-GS-136","Latescibacteria_unidentified","Omnitrophicaeota_Omnitrophia","Patescibacteria_CPR2","Patescibacteria_WWE3","Proteobacteria_unidentified","Tenericutes_Mollicutes","WPS-2_metagenome","Acidobacteria_Aminicenantia","Acidobacteria_Subgroup 21","Actinobacteria_MB-A2-108","Basidiomycota_Spiculogloeomycetes","Chloroflexi_JG30-KF-CM66","Chloroflexi_SHA-26","Chloroflexi_TK10","Chytridiomycota_Spizellomycetes","FBP_uncultured bacterium","FBP_unidentified","Firmicutes_unidentified","Hydrogenedentes_Hydrogenedentia","Latescibacteria_uncultured Acidobacterium sp.","Nitrospirae_Nitrospira","Patescibacteria_Berkelbacteria","Planctomycetes_Pla3 lineage","Spirochaetes_Leptospirae","TA06_uncultured soil bacterium","WS2_unidentified","WS4_uncultured bacterium","Zixibacteria_uncultured prokaryote","Actinobacteria_KIST-JJY010","Actinobacteria_Rubrobacteria","Ascomycota_Lecanoromycetes","Basidiomycota_Atractiellomycetes","Basidiomycota_Dacrymycetes","Basidiomycota_Moniliellomycetes","Basidiomycota_Pucciniomycetes","BRC1_uncultured Acidobacteria bacterium","BRC1_unidentified","Chytridiomycota_Chytridiomycetes","Dependentiae_Babeliae","Elusimicrobia_Lineage IIa","Elusimicrobia_Lineage IIc","FBP_uncultured actinobacterium","FBP_uncultured endolithic bacterium","FBP_uncultured soil bacterium","Fibrobacteres_Chitinivibrionia","Firmicutes_Limnochordia","Gemmatimonadetes_Longimicrobia","Glomeromycota_Glomeromycetes","Glomeromycota_Paraglomeromycetes","Kiritimatiellaeota_Kiritimatiellae","Latescibacteria_uncultured bacterium mle1-16","Latescibacteria_uncultured Latescibacteria bacterium","Latescibacteria_uncultured soil bacterium PRR-12","Monoblepharomycota_Monoblepharidomycetes","Patescibacteria_unidentified","Planctomycetes_Pla4 lineage","WPS-2_hydrothermal vent metagenome","WS2_uncultured bacterium","WS2_uncultured Firmicutes bacterium","Zixibacteria_uncultured bacterium"
"Actinobacteria_Acidimicrobiia",7.96735754848871e-27,1.33977555882701e-36,3.34178950460383e-15,3.00107424861212e-16,5.9872720358179e-22,8.95830692251075e-13,3.13303477297463e-18,1.51119423333142e-16,5.48005749456202e-07,1,1.40275222391112e-09,1.91326266752534e-07,9.8928797331862e-08,4.74086840372604e-06,0.223614338024568,3.98205024421042e-06,0.000870273112552184,1,0.00859525936477927,0.0140989418183215,0.0159670819995767,0.0232853347957915,0.0262904081347312,1,0.293321578776506,1,0.765775711269153,0.142245588713979,0.142245588713979,0.200765808293399,0.889213850351292,1,0.310342223229233,0.482780613834018,1,0.644700101984662,1,0.721815845477285,1,0.809350053652148,0.889213850351292,0.889213850351292,1,0.975037988653073,0.975037988653073,0.975037988653073,0.975037988653073,0.975037988653073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chloroflexi_Chloroflexia",4.46930129064124e-06,2.49748956102447e-24,1,1.11214007773358e-06,6.56825522500691e-19,1,1.09377195442552e-15,3.03932550527264e-14,0.00288736013642084,1,4.38310974421408e-09,0.0304512532904496,1.53814522315284e-05,0.0134200545085232,0.0377815117643054,2.96714325722413e-05,0.00299278766403234,0.407818825441041,0.0213383350312561,0.485779014172496,0.0360456716679118,0.24693043972017,1,0.266005053464725,0.113482346870408,0.465665220541238,0.126097753002217,0.231929504999292,0.231929504999292,0.889213850351292,1,1,0.450716572613813,0.630887162771925,0.853166547009444,0.853166547009444,1,1,0.988970656413316,0.988970656413316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chloroflexi_KD4-96",1,1.43945320326233e-31,1,0.109735911106824,6.56825522500691e-19,0.0372178722563562,1.09377195442552e-15,3.03932550527264e-14,1,1,1,0.00012594811310516,1,0.429245771273209,1,2.96714325722413e-05,0.00299278766403234,1,0.0213383350312561,0.0327202468490704,0.0360456716679118,1,1,1,1,1,1,0.231929504999292,0.76890945559244,1,1,1,0.450716572613813,1,1,0.853166547009444,1,1,1,0.988970656413316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Basidiomycota_Microbotryomycetes",1,1,1,1,1,1,1,1,0.490249681077912,1,0.0195492995978603,1,0.00289905304825369,0.0209320502976066,0.00128186214664143,1,1,0.470809216656325,1,0.040109707510939,1,1,1,0.749278785951739,1,0.513587843075157,1,1,0.854813080820755,0.310342223229233,1,1,1,0.682103062275885,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Spirochaetes_Spirochaetia",7.65082786339368e-09,8.38840465479241e-21,0.0407521452833481,0.00223656275861517,4.03548982808143e-15,2.43705689126086e-09,1.59825698311947e-12,2.35972213117293e-11,0.576248701785821,1,0.763705193099513,9.54307144120124e-07,0.00717207019099878,0.043953807161235,0.0302204997029749,0.000363420422954627,0.0139260176610986,0.0257879061360288,0.0651415789751558,0.0889976377965686,0.0971047490630441,1,0.529620392230971,1,1,0.802609690267283,0.859625232852621,0.423137948477612,1,0.482780613834018,1,1,0.682103062275885,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Acidobacteria_Subgroup 18",5.83545339542458e-08,1.39976374816283e-21,7.01534360597781e-06,9.9378221688779e-09,7.63462919584194e-13,8.30223992054614e-05,1.24406844411778e-10,1.2016588299367e-09,1,1,6.40074233243157e-05,0.00014135851318448,0.572020223356082,8.1406322705886e-05,1,0.00157884728552225,0.0342676716604973,1,0.125072315106517,0.168261629825291,0.181392968512435,0.218833250362139,1,1,1,1,1,0.572020223356082,0.572020223356082,1,1,1,0.889213850351292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Basidiomycota_Ustilaginomycetes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.461671877362061,1,1,1,1,1,1,0.740885113895824,1,0.235688611089363,1,1,0.402018865661275,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Acidobacteria_Blastocatellia (Subgroup 4)",0.000156672384122884,1.17024758682369e-18,1,0.0827809857127002,4.39369504999917e-12,0.0121852788699445,5.22402346083124e-10,4.47918726700179e-09,0.510177353169329,1,0.066139758508284,0.00187022293748704,0.053218502871763,0.034117160526706,1,0.00253577924146406,0.0448688477504977,0.336054369806251,0.157764314940059,0.201695473414382,0.215231451002732,0.265059180123166,1,1,1,1,1,0.635617659287279,0.635617659287279,0.721815845477285,1,1,0.956819851920805,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Patescibacteria_Saccharimonadia",0.00102398405478418,2.46791654276362e-20,1,0.0164922955263935,4.39369504999917e-12,0.00076467104670123,5.22402346083124e-10,4.47918726700179e-09,0.0166500862351021,0.00154895691068312,0.00321849228474865,2.24560134688684e-05,0.017758693442649,0.034117160526706,0.010018037869537,0.00253577924146406,0.0448688477504977,0.0717869078883055,0.157764314940059,0.201695473414382,0.215231451002732,0.857678379330715,0.279247724721676,0.279247724721676,1,1,1,0.635617659287279,0.635617659287279,0.721815845477285,0.904628661829078,1,0.956819851920805,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Acidobacteria_Subgroup 17",2.7133735056647e-05,4.38246273293979e-19,0.269384167199434,0.00120765757777143,2.46606299784314e-11,1.13631831883434e-05,2.20062109593556e-09,1.68051643671448e-08,0.988226021367925,1,0.00654328760813818,0.000586232142488204,1,0.146637344924429,1,0.00409127593805805,0.0619275206546463,1,0.193441757270121,0.246292543193507,0.264237261862587,0.309836577597735,1,0.986293379472296,1,1,1,0.718001430535443,0.718001430535443,0.809350053652148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ascomycota_Pezizomycetes",1,0.00745845520976041,0.194282119169903,0.0682609360738152,0.0174705408274822,0.0985603119892913,1,0.680234267008616,0.0682609360738152,1,0.000350244224346951,0.000586232142488204,1,0.00302989130020186,1,0.307122564819175,1,1,1,1,0.854813080820755,0.937748090014074,1,1,1,1,1,1,1,0.809350053652148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Basidiomycota_Cystobasidiomycetes",1,5.37325557299621e-07,1,1,1,1,1,1,1.40182857718042e-05,0.00189130756631873,0.0036677134069536,1,0.00274170556988412,0.0265657253255995,0.0255717685827258,1,1,0.489365274893398,0.238645300831592,0.299904340484409,0.310342223229233,0.37246685819732,1,1,0.564819793834798,0.564819793834798,0.573804242778931,1,0.809350053652148,0.889213850351292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fibrobacteres_Fibrobacteria",7.86632721977366e-06,3.23910280984993e-16,0.0220474068093513,0.00170038040910676,1.37747423390998e-10,0.000616720420795299,9.25388057901193e-09,6.07602410924948e-08,0.0321587751126241,0.00189130756631873,0.000114324486365387,0.00119587136344528,0.295836494309353,0.0265657253255995,0.0255717685827258,0.00660042714777857,0.0809589331359731,0.125072315106517,0.238645300831592,0.299904340484409,0.310342223229233,0.37246685819732,0.39269048654624,0.39269048654624,1,1,1,0.809350053652148,0.809350053652148,0.889213850351292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Armatimonadetes_Chthonomonadetes",3.04391002912563e-10,1.37349562525673e-16,1.02080350166168e-06,2.96714325722413e-05,7.68468008343372e-10,3.72563078180407e-06,3.86118356255085e-08,2.26624106664713e-07,0.390822593737191,1,0.00775263836117711,0.000235823419390998,0.0253647834316418,0.043953807161235,0.705133117105178,0.0107739463606314,0.109572023109168,1,0.293916869994213,0.35998525304594,0.37948113301299,0.441004175291262,0.459280168452176,1,1,0.630887162771925,1,0.889213850351292,0.889213850351292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Armatimonadetes_Fimbriimonadia",0.000305623744900615,1.37349562525673e-16,1,0.000917530944052348,7.68468008343372e-10,0.120628226422654,3.86118356255085e-08,2.26624106664713e-07,0.572020223356082,1,0.00178879970405424,0.000235823419390998,0.0807664294765531,0.572020223356082,0.0398947140777028,0.0107739463606314,0.109572023109168,1,0.293916869994213,0.35998525304594,0.37948113301299,0.441004175291262,0.459280168452176,1,1,1,1,0.889213850351292,0.889213850351292,0.975037988653073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Basidiomycota_unidentified",1,1,1,1,0.00484397351237119,1,0.286484801770322,0.531977386845057,1,1,1,1,1,0.929966959087702,0.705133117105178,0.531419090972691,0.455850604542787,1,1,0.35998525304594,1,1,0.459280168452176,1,1,0.630887162771925,0.663047084736598,0.889213850351292,1,0.975037988653073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chlamydiae_Chlamydiae",5.79650228595563e-15,1.37349562525673e-16,1.78104513810855e-09,0.000106338219210626,7.68468008343372e-10,3.72563078180407e-06,3.86118356255085e-08,2.26624106664713e-07,5.03934618750856e-06,9.66298099847023e-06,2.13239833239911e-05,0.000235823419390998,0.00512826527809411,0.00112802529082619,0.00560492240604451,0.0107739463606314,0.109572023109168,0.165238015433079,0.293916869994213,0.35998525304594,0.37948113301299,0.441004175291262,0.459280168452176,0.459280168452176,0.630887162771925,0.630887162771925,0.663047084736598,0.889213850351292,0.889213850351292,0.975037988653073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chytridiomycota_unidentified",0.20809361828113,1,0.00643110006106081,0.00235610781638426,0.00185441300602032,0.701279152348075,1,1,1,1,0.00178879970405424,0.0442879694593687,1,0.00112802529082619,0.149000711819699,0.0107739463606314,0.995103066528492,1,1,0.35998525304594,1,0.441004175291262,0.459280168452176,1,1,1,1,0.889213850351292,0.889213850351292,0.975037988653073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Mortierellomycota_Mortierellomycetes",1,1,1,1,1,1,1,1,1,1,0.299904340484409,0.124158030042416,1,0.135348299790878,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Patescibacteria_Parcubacteria",8.53476056689e-20,2.36619349664739e-15,2.99823223927807e-10,2.21481917946049e-09,4.31436738137532e-09,7.9693451051721e-08,1.62063283511566e-07,8.31202115663467e-07,0.000135789262931785,0.000337224064709315,5.55850799874673e-05,0.000518983319995162,0.00111995888732744,0.00218654188466682,0.0095763190864123,0.0172420549794318,0.148526511673439,0.20809361828113,0.35998525304594,0.438676136486535,0.450716572613813,0.510677475706918,0.53558374185487,1,0.731238881176041,1,1,0.988970656413316,0.988970656413316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Nitrospirae_4-29-1",0.000344229033498681,4.0723444944207e-14,0.000145985389366305,0.000567660367878603,2.38713501766581e-08,0.00129516665195764,6.78505773346537e-07,3.07428438845307e-06,1,1,0.0321175732422127,0.00110040892696624,0.210176015991678,0.0307711260428241,0.650087056947438,0.027526709491395,0.196841354895654,1,0.438676136486535,0.508929791371904,0.5316852455077,0.587897173618468,0.618831731509273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Nitrospirae_Thermodesulfovibrionia",1,7.2052491074092e-13,1,0.0326591929560343,1.31654387845493e-07,0.948597794266753,2.83022809481167e-06,1.10325845964368e-05,1,1,0.166983445717206,0.00235610781638426,0.628091593946463,0.187441497781478,1,0.0437741027834336,0.260818578687008,1,0.520219011017774,0.595307665724304,0.623702372004819,0.704758839882106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Actinobacteria_Coriobacteriia",4.7288370124825e-06,1.24077405961303e-11,2.14874960922568e-06,7.24077920434379e-07,7.27269943054178e-07,0.0112122288570415,1.15248265820073e-05,3.97042610371703e-05,0.0140038306473778,0.70280322290811,0.285760938433506,0.0049164155415276,0.0590861923587835,0.0146238463682482,0.043953807161235,0.0669276158980037,0.336861446112305,0.438676136486535,0.623702372004819,0.721815845477285,0.749278785951739,0.846413287204507,0.868305487445422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Basidiomycota_Exobasidiomycetes",1,1,1,1,1,1,1,1,1,0.00505076668742008,0.538722009476587,1,0.00898325614640768,1,1,1,1,1,1,1,1,0.846413287204507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Basidiomycota_Malasseziomycetes",1,1,1,1,1,1,1,1,1,0.0250125394064812,1,1,1,1,1,1,1,1,1,1,1,1,1,0.868305487445422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
