OTU,Phylum,Class,Order,Family,Genus,Species,total,number,OTU_id
EF632907.1.1542,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,metagenome,metagenome,423,B2002,B2002_metagenome
GQ889465.1.1384,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Singulisphaera,Isosphaera sp. Io1-4,423,B2003,B2003_Singulisphaera
JF185927.1.1322,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 8,uncultured Clostridiales bacterium,423,B2004,B2004_Clostridium.sensu.stricto.8
JF265691.1.1384,Rokubacteria,NC10,Rokubacteriales,uncultured candidate division SPAM bacterium,uncultured candidate division SPAM bacterium,uncultured candidate division SPAM bacterium,423,B2005,B2005_uncultured.candidate.division.SPAM.bacterium
CP001700.10101273.10102779,Actinobacteria,Actinobacteria,Catenulisporales,Catenulisporaceae,Catenulispora,Catenulispora acidiphila DSM 44928,422,B2006,B2006_Catenulispora
EU331380.1.1423,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),AKIW659,uncultured bacterium,421,B2007,B2007_AKIW659
cf492e2388e427fabd062c8aab7f137d,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,unidentified,420,B2008,B2008_Deinococcus
FN421896.1.1352,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,420,B2009,B2009_Sphingomonas
HM269994.1.1340,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,unidentified,unidentified,420,B2010,B2010_f_Microbacteriaceae
1b380e4e987f0bca20af621fa753e748,Planctomycetes,BD7-11,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,419,B2011,B2011_uncultured.bacterium
9d8aad6c86290dce0368d711004ee134,Chloroflexi,Anaerolineae,RBG-13-54-9,uncultured Anaerolineaceae bacterium,uncultured Anaerolineaceae bacterium,uncultured Anaerolineaceae bacterium,419,B2012,B2012_uncultured.Anaerolineaceae.bacterium
AB486876.1.1394,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,uncultured,unidentified,419,B2013,B2013_uncultured
AB930730.1.1446,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,denitrifying bacterium enrichment culture clone NOB_2_F8,419,B2014,B2014_uncultured
DQ814096.1.1200,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,unidentified,419,B2015,B2015_Aeromonas
JX066671.1.1408,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,microbial mat metagenome,419,B2016,B2016_Desulfovibrio
JX504964.1.1432,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,RBG-16-58-14,unidentified,419,B2017,B2017_RBG.16.58.14
HE804559.1.1423,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Candidatus Solibacter,unidentified,418,B2018,B2018_Candidatus.Solibacter
JF459957.1.1238,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,418,B2019,B2019_Sphingomonas
KM046979.1.1520,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,uncultured,uncultured Firmicutes bacterium,418,B2020,B2020_uncultured
KT819999.1.1503,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidisoma,unidentified,418,B2021,B2021_Acidisoma
01dd2093d37d4eae680f887c8740c922,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,unidentified,417,B2022,B2022_uncultured
ddab9610e73a838bfda895951e1ae1fb,Chloroflexi,Anaerolineae,RBG-13-54-9,uncultured bacterium,uncultured bacterium,uncultured bacterium,417,B2023,B2023_uncultured.bacterium
AJ617831.1.1486,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,unidentified,416,B2024,B2024_Syntrophobacter
EU132102.1.1326,Acidobacteria,Holophagae,Subgroup 7,unidentified,unidentified,unidentified,416,B2025,B2025_o_Subgroup.7
90d0e149d237c768b1b1b7915a1030e6,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,415,B2026,B2026_o_NA
GQ396953.1.1502,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured Gemmatimonadaceae bacterium,415,B2027,B2027_Gemmatimonas
KX504809.1.1514,Acidobacteria,Subgroup 22,uncultured prokaryote,uncultured prokaryote,uncultured prokaryote,uncultured prokaryote,415,B2028,B2028_uncultured.prokaryote
c2938949f6a3d094ddcc8cf001f27108,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria Incertae Sedis,Syntrophorhabdaceae,Syntrophorhabdus,uncultured Syntrophorhabdaceae bacterium WCHB1-27,414,B2029,B2029_Syntrophorhabdus
8f8faa0384e88a7158d5ea762b35f8b2,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Fonticella,unidentified,413,B2030,B2030_Fonticella
DQ296030.1.1425,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,unidentified,413,B2031,B2031_Desulfovibrio
DQ899734.1.1458,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Magnetospirillum,unidentified,413,B2032,B2032_Magnetospirillum
FM886841.1.1401,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineosporia,unidentified,413,B2033,B2033_Kineosporia
KT248519.1.1240,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,unidentified,413,B2034,B2034_Arcticibacter
AB488375.1.1379,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,MND1,unidentified,412,B2035,B2035_MND1
AB679974.1.1375,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,uncultured Gemmatimonas sp.,412,B2036,B2036_uncultured
FPLS01009498.15.1476,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,metagenome,412,B2037,B2037_Phenylobacterium
GQ340229.1.1410,Acidobacteria,Subgroup 6,Acidobacteria bacterium SCN 69-37,Acidobacteria bacterium SCN 69-37,Acidobacteria bacterium SCN 69-37,Acidobacteria bacterium SCN 69-37,412,B2038,B2038_Acidobacteria.bacterium.SCN.69.37
KC108987.1.1200,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas rhizophila,412,B2039,B2039_Stenotrophomonas
KC554269.1.1519,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,unidentified,412,B2040,B2040_Nocardioides
KY117477.1.1421,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Ferrovibrio,uncultured bacterium,412,B2041,B2041_Ferrovibrio
LC124604.1.1449,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir2 lineage,uncultured bacterium,412,B2042,B2042_Pir2.lineage
EU132269.1.1351,Acidobacteria,Subgroup 6,Unknown Order,Unknown Family,Vicinamibacter,uncultured bacterium,411,B2043,B2043_Vicinamibacter
GU208268.1.1496,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,unidentified,unidentified,411,B2044,B2044_f_Burkholderiaceae
