OTU,Phylum,Class,Order,Family,Genus,Species,total,number,OTU_id
KP409622.1.1215,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,unidentified,1519348,B1,B1_Pantoea
EU808442.1.1293,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,unidentified,383938,B2,B2_Methylobacterium
KU725963.1.1234,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,331762,B3,B3_Sphingomonas
MLFS01000124.50.1600,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,unidentified,260540,B4,B4_Pantoea
EU239123.1.1223,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unidentified,210771,B5,B5_Pseudomonas
EF111062.1.1228,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,192894,B6,B6_Sphingomonas
KU725926.1.1331,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium,unidentified,168942,B7,B7_Curtobacterium
GASZ01001652.185.1608,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,unidentified,unidentified,165890,B8,B8_f_Rhizobiaceae
FJ432294.1.1202,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,unidentified,151625,B9,B9_Methylobacterium
EU705754.1.1215,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,unidentified,150338,B10,B10_Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium
EU723184.1.1305,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,unidentified,147748,B11,B11_Xanthomonas
LDRW01000020.4112.5606,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium barchaimii,121171,B12,B12_Novosphingobium
KJ606801.1.1322,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,unidentified,115448,B13,B13_Aureimonas
KU513667.1.1232,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,unidentified,102934,B14,B14_Burkholderia.Caballeronia.Paraburkholderia
KC633581.1.1305,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,97005,B15,B15_Sphingomonas
JX192648.1.1366,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,82915,B16,B16_Sphingomonas
JF224904.1.1305,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,unidentified,78785,B17,B17_Methylobacterium
KJ200413.1.1428,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Herbaspirillum,unidentified,77524,B18,B18_Herbaspirillum
KJ184878.1.1455,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,unidentified,77443,B19,B19_Xanthomonas
GU325690.1.1205,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unidentified,71756,B20,B20_Pseudomonas
HM274363.1.1305,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,unidentified,70675,B21,B21_Methylobacterium
AB511011.1.1469,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,uncultured Roseobacter sp.,uncultured Roseobacter sp.,69350,B22,B22_uncultured.Roseobacter.sp.
EF182718.1.1422,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,unidentified,unidentified,64226,B23,B23_f_Burkholderiaceae
HQ698287.1.1232,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unidentified,63041,B24,B24_Bradyrhizobium
KF515264.1.1459,Chloroflexi,Anaerolineae,RBG-13-54-9,uncultured prokaryote,uncultured prokaryote,uncultured prokaryote,62069,B25,B25_uncultured.prokaryote
EU133537.1.1316,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unidentified,58907,B26,B26_Bradyrhizobium
X89912.1.1281,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Sphingobacterium-like sp. PC1.9,56261,B27,B27_Mucilaginibacter
KT803965.1.1472,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,unidentified,52366,B28,B28_Burkholderia.Caballeronia.Paraburkholderia
JF137691.1.1306,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,unidentified,48962,B29,B29_Methylobacterium
HM447706.1.1379,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,46715,B30,B30_Sphingomonas
JF167658.1.1334,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera,Quadrisphaera sp.,43007,B31,B31_Quadrisphaera
JX025755.1.1443,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unidentified,42191,B32,B32_Bradyrhizobium
JF190649.1.1337,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,unidentified,40621,B33,B33_Kineococcus
AB272335.1.1200,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unidentified,39538,B34,B34_Bradyrhizobium
KP980580.1.1419,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,unidentified,38215,B35,B35_Methylobacterium
EU239162.1.1272,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,unidentified,38195,B36,B36_Stenotrophomonas
EF154172.1.1380,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,unidentified,37062,B37,B37_Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium
EU360304.1.1433,Proteobacteria,Deltaproteobacteria,MBNT15,uncultured prokaryote,uncultured prokaryote,uncultured prokaryote,35312,B38,B38_uncultured.prokaryote
JF225451.1.1374,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus hunanensis,34884,B39,B39_Paenibacillus
KT582001.1.1316,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,unidentified,32857,B40,B40_Caulobacter
AY138237.1.1441,Proteobacteria,Alphaproteobacteria,Rhizobiales,Pleomorphomonadaceae,uncultured,uncultured Rhizobiales bacterium,32085,B41,B41_uncultured
FJ577648.1.1421,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unidentified,31862,B42,B42_Pseudomonas
KJ601761.1.1362,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,31565,B43,B43_Sphingomonas
AM071371.1.1214,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,unidentified,unidentified,30724,B44,B44_f_Xanthobacteraceae
GU471202.1.1252,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,unidentified,30400,B45,B45_Acinetobacter
CU925782.1.1360,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,unidentified,unidentified,29578,B46,B46_f_Rhodocyclaceae
AY922044.1.1353,Chloroflexi,KD4-96,metagenome,metagenome,metagenome,metagenome,29153,B47,B47_metagenome
HG423551.1.1342,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,unidentified,28057,B48,B48_Luteibacter
AB240304.1.1455,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,uncultured bacterium,27642,B49,B49_Anaerolinea
HG380582.1.1390,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,unidentified,27261,B50,B50_Thiobacillus
EF688210.1.1437,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,uncultured Chloroflexi bacterium,26764,B51,B51_Anaerolinea
KM186986.1.1346,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,unidentified,26072,B52,B52_Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium
JN397739.1.1458,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,unidentified,unidentified,25858,B53,B53_f_SC.I.84
GU118241.1.1406,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,uncultured,unidentified,25713,B54,B54_uncultured
AB748641.1.1460,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,unidentified,25698,B55,B55_Sideroxydans
JQ236829.1.1395,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,unidentified,25559,B56,B56_Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium
LC202905.1.1224,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,unidentified,25476,B57,B57_Streptomyces
HM335571.1.1366,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,unidentified,25422,B58,B58_Rhodanobacter
GQ369053.1.1260,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Terrabacter,unidentified,24752,B59,B59_Terrabacter
AB365487.1.1423,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,unidentified,24415,B60,B60_Rhizomicrobium
AF312222.1.1473,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured Rhodanobacter sp.,24013,B61,B61_Rhodanobacter
KX984117.1.1262,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,unidentified,23586,B62,B62_Clostridium.sensu.stricto.1
DQ837227.1.1374,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,unidentified,23572,B63,B63_Methylocystis
AB240224.1.1442,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,uncultured bacterium,23561,B64,B64_Rhizomicrobium
AB240366.1.1463,Chloroflexi,Anaerolineae,RBG-13-54-9,unidentified,unidentified,unidentified,23553,B65,B65_o_RBG.13.54.9
DQ404825.1.1518,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,GOUTA6,uncultured bacterium,22603,B66,B66_GOUTA6
ce9bee021f9a74587a752321394a8aa4,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,unidentified,22474,B67,B67_uncultured
KM020948.1.1296,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,unidentified,22409,B68,B68_Chryseobacterium
KY287412.1.1366,Acidobacteria,Subgroup 6,unidentified,unidentified,unidentified,unidentified,21897,B69,B69_o_NA
AB698799.1.1416,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unidentified,unidentified,21889,B70,B70_f_Enterobacteriaceae
EF098942.1.1345,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,unidentified,21704,B71,B71_Methylobacterium
JN089715.1.1229,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,unidentified,21224,B72,B72_Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium
AY571791.1.1424,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,unidentified,unidentified,20545,B73,B73_f_Blastocatellaceae
AB600426.1.1396,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,unidentified,unidentified,20513,B74,B74_f_Rhodocyclaceae
ee28f7b2904295f2ec83f2daf61c7cb0,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,unidentified,20424,B75,B75_Actinoallomurus
FJ593717.1.1405,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,unidentified,20248,B76,B76_Methylobacterium
JF681413.1.1240,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,unidentified,19819,B77,B77_Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium
KU053645.1.1448,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas metalli,19247,B78,B78_Sphingomonas
AB240345.1.1468,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,unidentified,19127,B79,B79_uncultured
AY649432.1.1269,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unidentified,19065,B80,B80_Bradyrhizobium
KX212245.1.1200,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,unidentified,19065,B81,B81_Stenotrophomonas
AY928246.1.1338,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Uliginosibacterium,unidentified,19047,B82,B82_Uliginosibacterium
KX242465.1.1378,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unidentified,18945,B83,B83_Bradyrhizobium
AP010946.3211336.3212809,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,unidentified,18754,B84,B84_Azospirillum
AY736247.1.1240,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,unidentified,18527,B85,B85_Mycobacterium
KM253192.1.1336,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,18461,B86,B86_Sphingomonas
AB638017.1.1480,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,unidentified,18211,B87,B87_Mucilaginibacter
HQ330569.1.1357,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes vadinHA17,uncultured Alkaliflexus sp.,uncultured Alkaliflexus sp.,18003,B88,B88_uncultured.Alkaliflexus.sp.
JF701937.1.1440,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,unidentified,17608,B89,B89_Burkholderia.Caballeronia.Paraburkholderia
EF020052.1.1384,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Variovorax,unidentified,17528,B90,B90_Variovorax
DQ404775.1.1508,Acidobacteria,Subgroup 6,unidentified,unidentified,unidentified,unidentified,17376,B91,B91_o_NA
KM361537.1.1344,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,unidentified,17194,B92,B92_Chryseobacterium
HG942130.1.1307,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,unidentified,17186,B93,B93_Pedobacter
DQ450808.1.1391,Nitrospirae,4-29-1,uncultured Nitrospirae bacterium,uncultured Nitrospirae bacterium,uncultured Nitrospirae bacterium,uncultured Nitrospirae bacterium,16840,B94,B94_uncultured.Nitrospirae.bacterium
KY393355.1.1390,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,unidentified,16617,B95,B95_Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium
EU133650.1.1359,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,unidentified,15879,B96,B96_uncultured
DQ137946.1.1220,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,unidentified,15782,B97,B97_uncultured
JQ977010.1.1397,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,15650,B98,B98_Sphingomonas
FR774616.1.1383,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,unidentified,unidentified,15522,B99,B99_f_Burkholderiaceae
GQ369124.1.1372,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,unidentified,15069,B100,B100_Chitinophaga
JQ659756.1.1463,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Filimonas,Filimonas sp. R5-375,15023,B101,B101_Filimonas
FJ807421.1.1334,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,unidentified,unidentified,14948,B102,B102_f_Xanthobacteraceae
KY992544.1.1325,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,unidentified,14913,B103,B103_Burkholderia.Caballeronia.Paraburkholderia
EU134197.1.1315,Chloroflexi,KD4-96,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,14403,B104,B104_uncultured.bacterium
JX504948.1.1479,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter,uncultured Anaeromyxobacter sp.,14252,B105,B105_Anaeromyxobacter
KJ877455.1.1301,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,unidentified,14233,B106,B106_Pseudolabrys
CU922866.1.1374,Acidobacteria,Subgroup 6,unidentified,unidentified,unidentified,unidentified,13843,B107,B107_o_NA
HE589845.1.1475,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,uncultured Desulfuromonadales bacterium,13822,B108,B108_Geobacter
KR189284.1.1253,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unidentified,unidentified,13815,B109,B109_f_Enterobacteriaceae
KC122709.1.1403,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Roseateles,Roseateles depolymerans,13801,B110,B110_Roseateles
EU239148.1.1244,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,unidentified,13791,B111,B111_Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium
KY287319.1.1489,Nitrospirae,Thermodesulfovibrionia,uncultured,uncultured prokaryote,uncultured prokaryote,uncultured prokaryote,13747,B112,B112_uncultured.prokaryote
GQ487973.1.1449,Chloroflexi,Anaerolineae,RBG-13-54-9,unidentified,unidentified,unidentified,13688,B113,B113_o_RBG.13.54.9
KC172206.1.1504,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,unidentified,13289,B114,B114_Luteimonas
AB702994.1.1436,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Candidatus Nasuia,Candidatus Nasuia deltocephalinicola,13278,B115,B115_Candidatus.Nasuia
EU704838.1.1254,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus,unidentified,13148,B116,B116_Geodermatophilus
HQ844554.1.1431,Chloroflexi,KD4-96,unidentified,unidentified,unidentified,unidentified,12972,B117,B117_o_NA
KX082856.1.1396,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Oxalicibacterium,Oxalicibacterium faecigallinarum,12936,B118,B118_Oxalicibacterium
JF265850.1.1359,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,unidentified,12903,B119,B119_Acidibacter
EF516883.1.1412,Chloroflexi,KD4-96,uncultured Anaerolineaceae bacterium,uncultured Anaerolineaceae bacterium,uncultured Anaerolineaceae bacterium,uncultured Anaerolineaceae bacterium,12845,B120,B120_uncultured.Anaerolineaceae.bacterium
HG423553.1.1283,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,unidentified,12669,B121,B121_Caulobacter
AB240264.1.1516,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter,uncultured bacterium,12467,B122,B122_Anaeromyxobacter
AB240491.1.1488,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,uncultured,unidentified,12424,B123,B123_uncultured
EF516588.1.1452,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Ellin6067,unidentified,12329,B124,B124_Ellin6067
JN697905.1.1302,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Niveispirillum,unidentified,12202,B125,B125_Niveispirillum
HM240922.1.1307,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,12024,B126,B126_Sphingomonas
HM273329.1.1360,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,unidentified,11859,B127,B127_Sphingobacterium
KX589520.1.1506,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,unidentified,11733,B128,B128_Thiobacillus
AB930500.1.1491,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,uncultured Verrucomicrobia bacterium,11731,B129,B129_ADurb.Bin063.1
EU753663.1.1443,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium,uncultured alpha proteobacterium,11593,B130,B130_Rhodomicrobium
JF429000.1.1537,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured Xanthomonadaceae bacterium,11572,B131,B131_Rhodanobacter
JF342354.1.1491,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,unidentified,unidentified,11516,B132,B132_f_Intrasporangiaceae
EU132200.1.1364,Acidobacteria,Holophagae,Subgroup 7,uncultured Desulfuromonadales bacterium,uncultured Desulfuromonadales bacterium,uncultured Desulfuromonadales bacterium,11503,B133,B133_uncultured.Desulfuromonadales.bacterium
AY121982.1.1271,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unidentified,11461,B134,B134_Pseudomonas
HM302618.1.1306,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,11317,B135,B135_Sphingomonas
AB487531.1.1320,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Hydrogenispora,uncultured bacterium,11269,B136,B136_Hydrogenispora
HG424717.1.1228,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,unidentified,11144,B137,B137_Mycobacterium
HE589890.1.1439,Actinobacteria,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,unidentified,11136,B138,B138_Nakamurella
20335f0e25030e9c93382f719f783fb5,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,RBG-16-58-14,uncultured bacterium,11111,B139,B139_RBG.16.58.14
HM297893.1.1347,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,unidentified,unidentified,11079,B140,B140_f_Intrasporangiaceae
KJ194953.1.1275,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ciceribacter,Ensifer adhaerens,11065,B141,B141_Ciceribacter
JF265777.1.1358,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Ellin6067,unidentified,11063,B142,B142_Ellin6067
EU133399.1.1323,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unidentified,11034,B143,B143_Bradyrhizobium
EF018750.1.1338,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,unidentified,10923,B144,B144_Bradyrhizobium
DQ083302.1.1401,Chloroflexi,KD4-96,uncultured Chloroflexi bacterium,uncultured Chloroflexi bacterium,uncultured Chloroflexi bacterium,uncultured Chloroflexi bacterium,10871,B145,B145_uncultured.Chloroflexi.bacterium
FQ659358.1.1356,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes vadinHA17,uncultured prokaryote,uncultured prokaryote,10867,B146,B146_uncultured.prokaryote
EF467848.1.1450,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas polyaromaticivorans,10800,B147,B147_Sphingomonas
DQ836757.1.1415,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,unidentified,10752,B148,B148_Thiobacillus
KX508658.1.1483,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,unidentified,10667,B149,B149_Mucilaginibacter
JF775628.1.1474,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,RBG-16-58-14,uncultured bacterium,10319,B150,B150_RBG.16.58.14
AJ518770.1.1242,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,unidentified,10311,B151,B151_Pseudolabrys
FQ659407.1.1359,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,unidentified,10283,B152,B152_Sideroxydans
EU790158.1.1203,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ralstonia,Ralstonia pickettii,10269,B153,B153_Ralstonia
KX946191.1.1496,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,unidentified,unidentified,10231,B154,B154_f_Micrococcaceae
FM866275.1.1450,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,unidentified,10189,B155,B155_Flavisolibacter
AB487539.1.1349,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Hydrogenispora,uncultured bacterium,10013,B156,B156_Hydrogenispora
FQ659268.1.1359,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,uncultured soil bacterium,9975,B157,B157_uncultured
AB240231.1.1447,Chloroflexi,OLB14,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,9949,B158,B158_uncultured.bacterium
JF951735.1.1403,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,unidentified,9842,B159,B159_Chryseobacterium
EF589965.1.1348,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,unidentified,9814,B160,B160_Anaerolinea
KC455432.1.1396,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,unidentified,9762,B161,B161_Novosphingobium
KR338952.1.1402,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,unidentified,9701,B162,B162_Asticcacaulis
2590bff8d07ce83977e0ebc8ea970cbb,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,unidentified,9641,B163,B163_uncultured
JN391722.1.1419,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,unidentified,unidentified,9589,B164,B164_f_Burkholderiaceae
FR733664.1.1528,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema stenostreptum,9570,B165,B165_Treponema
JN698174.1.1320,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,uncultured bacterium,9445,B166,B166_Sphingobium
