Compartment,Module_1,Percent (%),Module_3,Percent (%),Module_6,Percent (%),Module_11,Percent (%),Total
S7.106,0 ,0.000 ,0 ,0.000 ,872 ,1.365 ,142 ,0.704 ,"1,014 "
S7.120,0 ,0.000 ,0 ,0.000 ,"2,774 ",4.341 ,3 ,0.015 ,"2,777 "
S7.141,0 ,0.000 ,0 ,0.000 ,"1,217 ",1.905 ,23 ,0.114 ,"1,240 "
S8.90,0 ,0.000 ,3 ,0.018 ,82 ,0.128 ,177 ,0.877 ,262 
S8.106,5 ,0.014 ,0 ,0.000 ,512 ,0.801 ,261 ,1.294 ,778 
S8.120,0 ,0.000 ,0 ,0.000 ,"3,089 ",4.834 ,7 ,0.035 ,"3,096 "
S8.141,0 ,0.000 ,0 ,0.000 ,31 ,0.049 ,0 ,0.000 ,31 
S9.90,156 ,0.437 ,5 ,0.030 ,70 ,0.110 ,246 ,1.219 ,477 
S9.106,0 ,0.000 ,1 ,0.006 ,180 ,0.282 ,68 ,0.337 ,249 
S9.120,0 ,0.000 ,0 ,0.000 ,67 ,0.105 ,8 ,0.040 ,75 
S9.141,0 ,0.000 ,0 ,0.000 ,23 ,0.036 ,4 ,0.020 ,27 
L1.48,84 ,0.235 ,0 ,0.000 ,28 ,0.044 ,661 ,3.276 ,773 
L1.62,3 ,0.008 ,8 ,0.049 ,76 ,0.119 ,539 ,2.671 ,626 
L1.76,5 ,0.014 ,1 ,0.006 ,45 ,0.070 ,266 ,1.318 ,317 
L1.90,0 ,0.000 ,0 ,0.000 ,75 ,0.117 ,148 ,0.734 ,223 
L1.106,0 ,0.000 ,2 ,0.012 ,363 ,0.568 ,170 ,0.843 ,535 
L1.120,0 ,0.000 ,0 ,0.000 ,745 ,1.166 ,75 ,0.372 ,820 
L1.141,0 ,0.000 ,1 ,0.006 ,"2,000 ",3.130 ,30 ,0.149 ,"2,031 "
L2.48,278 ,0.779 ,2 ,0.012 ,9 ,0.014 ,799 ,3.960 ,"1,088 "
L2.62,3 ,0.008 ,1 ,0.006 ,227 ,0.355 ,342 ,1.695 ,573 
L2.76,11 ,0.031 ,0 ,0.000 ,23 ,0.036 ,255 ,1.264 ,289 
L2.90,0 ,0.000 ,1 ,0.006 ,75 ,0.117 ,322 ,1.596 ,398 
L2.106,0 ,0.000 ,14 ,0.085 ,191 ,0.299 ,61 ,0.302 ,266 
L2.120,8 ,0.022 ,315 ,1.917 ,471 ,0.737 ,122 ,0.605 ,916 
L2.141,1 ,0.003 ,4 ,0.024 ,965 ,1.510 ,177 ,0.877 ,"1,147 "
L3.62,24 ,0.067 ,1 ,0.006 ,24 ,0.038 ,423 ,2.096 ,472 
L3.76,5 ,0.014 ,1 ,0.006 ,11 ,0.017 ,448 ,2.220 ,465 
L3.90,35 ,0.098 ,23 ,0.140 ,91 ,0.142 ,350 ,1.735 ,499 
L3.106,4 ,0.011 ,22 ,0.134 ,228 ,0.357 ,211 ,1.046 ,465 
L3.120,30 ,0.084 ,319 ,1.942 ,"1,217 ",1.905 ,265 ,1.313 ,"1,831 "
L3.141,1 ,0.003 ,0 ,0.000 ,624 ,0.977 ,294 ,1.457 ,919 
FL.76,3 ,0.008 ,1 ,0.006 ,7 ,0.011 ,382 ,1.893 ,393 
FL.90,5 ,0.014 ,3 ,0.018 ,45 ,0.070 ,330 ,1.636 ,383 
FL.106,0 ,0.000 ,1 ,0.006 ,127 ,0.199 ,83 ,0.411 ,211 
FL.120,0 ,0.000 ,0 ,0.000 ,901 ,1.410 ,26 ,0.129 ,927 
FL.141,0 ,0.000 ,0 ,0.000 ,413 ,0.646 ,4 ,0.020 ,417 
G.0,0 ,0.000 ,0 ,0.000 ,110 ,0.172 ,5 ,0.025 ,115 
G.76,0 ,0.000 ,0 ,0.000 ,137 ,0.214 ,"1,113 ",5.516 ,"1,250 "
G.90,0 ,0.000 ,1 ,0.006 ,91 ,0.142 ,119 ,0.590 ,211 
G.106,4 ,0.011 ,0 ,0.000 ,56 ,0.088 ,50 ,0.248 ,110 
G.120,0 ,0.000 ,0 ,0.000 ,97 ,0.152 ,12 ,0.059 ,109 
G.141,0 ,0.000 ,0 ,0.000 ,89 ,0.139 ,2 ,0.010 ,91 
,"35,688 ",100,"16,430 ",100,"63,896 ",100,"20,177 ",100,"136,191 "
